key,en
Interface language,Interface language
Russian,Russian
English,English
Model settings,Model settings
Chat history,Chat history
Search,Search
Downloads,Downloads
Gallery,Gallery
+ New chat,+ New chat
Back,Back
Save,Save
Tools,Tools
Requires attention,Requires attention
Please wait…,Please wait…
"Please wait, finishing the current reply…","Please wait, finishing the current reply…"
Scanning models folder…,Scanning models folder…
Settings saved,Settings saved
Available LoRA,Available LoRA
Gallery descriptions,Gallery descriptions
Cancel,Cancel
Capture frame,Capture frame
Preparing…,Preparing…
Message…,Message…
What to draw? (prompt)…,What to draw? (prompt)…
Exclude (negative prompt)…,Exclude (negative prompt)…
Ready to generate…,Ready to generate…
Creating new chat…,Creating new chat…
New chat started,New chat started
Delete this chat permanently?,Delete this chat permanently?
Deleting…,Deleting…
Enter a new title:,Enter a new title:
No LoRA files in /models/lora/,No LoRA files in /models/lora/
Already in prompt,Already in prompt
What should we do with the image(s)? For two photos describe the composition (English is usually more stable)…,What should we do with the image(s)? For two photos describe the composition (English is usually more stable)…
Main image (required),Main image (required)
Photo,Photo
Second image for composition (optional),Second image for composition (optional)
Photo 2,Photo 2
Apply edit,Apply edit
Square 1:1,Square 1:1
Landscape 16:9,Landscape 16:9
Portrait 9:16,Portrait 9:16
Apply LoRA,Apply LoRA
Draw,Draw
Save to dataset,Save to dataset
Save to memory,Save to memory
"Photo (JPG, PNG, WebP) or document (TXT, MD, PDF)","Photo (JPG, PNG, WebP) or document (TXT, MD, PDF)"
Take a photo with the camera,Take a photo with the camera
Task unavailable,Task unavailable
Failed to start,Failed to start
Start error,Start error
Task is not available for this model,Task is not available for this model
Not implemented,Not implemented
Failed to start description refresh,Failed to start description refresh
File {name} is too large. Max 6 MB.,File {name} is too large. Max 6 MB.
Could not start document upload.,Could not start document upload.
Documents are not supported in this build.,Documents are not supported in this build.
"File {name}: only JPG, PNG, WebP or TXT/MD/PDF.","File {name}: only JPG, PNG, WebP or TXT/MD/PDF."
"File {name} is not supported. Only JPG, PNG and WebP.","File {name} is not supported. Only JPG, PNG and WebP."
document,document
Attach the main image first (Photo button). Second is optional.,Attach the main image first (Photo button). Second is optional.
Editing image…,Editing image…
Painting your masterpiece…,Painting your masterpiece…
Canvas cleared. Attach a new photo and describe the edit.,Canvas cleared. Attach a new photo and describe the edit.
