key,ru
tools.memory_search.description,"ПОИСК В ДОЛГОВРЕМЕННОЙ ПАМЯТИ (переписка, сохранённые факты). Вызывай ТОЛЬКО когда вопрос явно про прошлый диалог/сохранённые факты; иначе отвечай без инструмента. Только текст (не фото/галерея). Не подставляй служебные фразы и не копируй описание параметров в query. Подряд два memory_search запрещены: один запрос к памяти за шаг цепочки, затем текстовый ответ."
tools.memory_search.param.query,Короткая тема поиска по памяти (2-10 слов своими словами).
tools.gallery_search.description,"ПОИСК В ЛОКАЛЬНОЙ ГАЛЕРЕЕ сохранённых генераций (картинки на диске + описания в БД). Сервер выполнит вызов только если в текущем сообщении пользователя есть явный запрос на картинки, фото, галерею, визуал или сохранённые арты (tool_policies.json → user_intent.gallery_message_substrings); иначе вызов отклонят. Сервер ищет в основном семантически (вектор по description), при нехватке — подстрока в description или prompt. Запрос в query передаётся на сервер как есть (фраза на языке пользователя). НЕ для времени, даты, погоды и железа из sens — ответь текстом. НЕ для снимка с веб-камеры — camera_capture. Обращение «{model_name}, …» само по себе не повод искать в галерее. Один вызов gallery_search на ответ; только как первый инструмент в цепочке. Найденные кадры: миниатюры в чате; краткий vision-подвызов по лучшим кадрам."
tools.gallery_search.param.query,"Поисковый запрос: что искать по смыслу (сцена, объекты, настроение, стиль). Можно короткую фразу или несколько слов. Формулируй по визуальному содержанию, а не по имени ассистента или бытовым словам вопроса."
tools.camera_capture.description,СНИМОК С ВЕБ-КАМЕРЫ: один кадр с камеры устройства для vision-ответа. Сервер выполнит вызов только если в текущем сообщении пользователя есть явный запрос камеры/веб-камеры (подстроки в tool_policies.json → user_intent.camera_message_substrings); иначе вызов будет отклонён. Перед съёмкой пользователю показывается запрос разрешения (можно запомнить для этого чата). НЕ для галереи сохранённых артов — для этого gallery_search. НЕ для времени/железа из sens. Один вызов camera_capture на ответ; только как первый инструмент в цепочке. Требуется vision-модель (mmproj/chat_handler).
tools.camera_capture.param.reason,"Кратко, зачем нужен кадр (для лога; необязательно)."
tools.web_search.description,"ПОИСК В ИНТЕРНЕТЕ (SearXNG). Сервер выполнит вызов только если в текущем сообщении пользователя есть явный запрос данных из сети (подстроки в tool_policies.json → user_intent.web_message_substrings); иначе вызов будет отклонён — отвечай из sens, памяти и знаний. Не для времени/железа из sens. Возвращает заголовки, ссылки и сниппеты; для точных фактов со страницы вызови web_fetch_url по URL из выдачи. Повтор той же выдачи — web_search_saved с тем же research_run_id, не второй web_search подряд. Не вызывай web_fetch_url дважды для одного URL — смотри предыдущие tool-сообщения."
tools.web_search.param.query,Поисковый запрос для веба.
tools.web_search.param.limit,Сколько результатов взять (1..10).
tools.web_search.param.language,"Язык поиска, например ru или en."
tools.web_search.param.route_mode,Маршрут поиска: auto/default/ru.
tools.web_search_saved.description,"Повторно вывести из базы заголовки, URL и сниппеты уже выполненного web_search по research_run_id — без нового поиска в интернете. Для другой ссылки из той же выдачи после fetch, вместо второго web_search с тем же смыслом."
tools.web_search_saved.param.run_id,research_run_id из ответа web_search (число в строке «research_run_id=…»).
tools.web_fetch_url.description,"ЗАГРУЗКА СТРАНИЦЫ по URL (HTTP) в продолжение web_search в этом же ответе. Без предшествующего web_search в этом ответе не вызывай — сервер отклонит. В конце ответа перечисляются другие URL той же выдачи (research_run_id), по которым ещё не делали fetch. Нужна полная статья, а не только снипет SERP. Не пересказывай сырой JSON пользователю. Один URL — один успешный fetch за ответ."
tools.web_fetch_url.param.url,Полный URL страницы для чтения.
tools.web_fetch_url.param.run_id,ID research run из web_search (опционально).
tools.web_fetch_url.param.route_mode,Маршрут fetch: auto/default/ru.
policies.system.internet.text,"ИНТЕРНЕТ (web_search, web_fetch_url): sens и память важнее. Новый web_search сервер выполнит только если в текущей реплике пользователя есть явный запрос данных из сети (см. user_intent.web_message_substrings в tool_policies.json); без этого отвечай текстом из контекста и знаний. web_fetch_url — только после разрешённого web_search в этом же ответе, по URL из выдачи."
policies.tools.memory_search.forbidden_if_last_hint,"Память уже запрашивали на этом шаге — сформируй ответ из результата; web_search только если пользователь в этой реплике явно просил поиск в интернете (сервер проверит). Иначе ответь текстом, не memory_search снова."
policies.tools.memory_search.extras.gallery_redirect_refusal_message,"memory_search только для текста переписки и фактов, не для картинок. Вызови gallery_search с визуальным запросом (сцена, люди, стиль) на языке пользователя — без дописки «(images)» в query. Если gallery_search отклонят — ответь текстом."
policies.tools.gallery_search.extras.no_gallery_intent_refusal_message,"gallery_search сейчас недоступен: в сообщении пользователя нет явного запроса на картинки, фото, галерею или сохранённые арты. Ответь текстом; время и показания железа — только из sens."
