key,ru
Interface language,Язык интерфейса
Russian,Русский
English,English
Model settings,Настройки модели
Chat history,История чатов
Search,Поиск
Downloads,Загрузки
Gallery,Галерея работ
+ New chat,+ Новый чат
Back,⬅️ Назад
Save,Сохранить
Tools,Инструменты
Requires attention,Требует внимания
Please wait…,Подождите…
"Please wait, finishing the current reply…","Подождите, завершаем текущий ответ…"
Scanning models folder…,Сканирую папку моделей…
Settings saved,Настройки применены и сохранены
Available LoRA,Доступные LoRA
Gallery descriptions,Описания для галереи
Cancel,Прервать
Capture frame,Снять кадр
Preparing…,Подготовка…
Message…,Сообщение…
What to draw? (prompt)…,Что нарисовать? (Prompt)…
Exclude (negative prompt)…,Исключить (Negative Prompt)…
Ready to generate…,Готова к генерации…
Creating new chat…,Создаём новый чат…
New chat started,Начат новый диалог
Delete this chat permanently?,Удалить чат навсегда?
Deleting…,Удаляем…
Enter a new title:,Введите новое название:
No LoRA files in /models/lora/,Лоры не найдены в папке /models/lora/
Already in prompt,Уже в промпте
What should we do with the image(s)? For two photos describe the composition (English is usually more stable)…,Что сделать с картинкой(ами)? Для двух фото опишите композицию (на английском обычно стабильнее)…
Main image (required),Основное изображение (обязательно)
Photo,📎 Фото
Second image for composition (optional),Второе изображение для композиции (необязательно)
Photo 2,🖼 Фото 2
Apply edit,✨ Применить правку
Square 1:1,Квадрат 1:1
Landscape 16:9,Альбом 16:9
Portrait 9:16,Портрет 9:16
Apply LoRA,Применить LoRA
Draw,🎨 Рисовать
Save to dataset,Сохранить в датасет
Save to memory,Сохранить в память
"Photo (JPG, PNG, WebP) or document (TXT, MD, PDF)","Фото (JPG, PNG, WebP) или документ (TXT, MD, PDF)"
Take a photo with the camera,Снять фото с камеры
Voice input,Голосовой ввод
Stop recording,Остановить запись
Recognizing speech…,Распознаём речь…
Speech recognition is unavailable.,Распознавание речи недоступно.
Could not recognize speech.,Не удалось распознать речь.
Speech recognition failed.,Ошибка распознавания речи.
Task unavailable,Задача недоступна
Failed to start,Не удалось запустить
Start error,Ошибка запуска
Task is not available for this model,Задача недоступна для этой модели
Not implemented,Не реализовано
Failed to start description refresh,Не удалось запустить обновление описаний
File {name} is too large. Max 6 MB.,Файл {name} слишком тяжелый. Максимум 6 Мб.
Could not start document upload.,Не удалось начать загрузку документа.
Documents are not supported in this build.,Документы не поддерживаются в этой сборке.
"File {name}: only JPG, PNG, WebP or TXT/MD/PDF.","Файл {name}: только JPG, PNG, WebP или TXT/MD/PDF."
"File {name} is not supported. Only JPG, PNG and WebP.","Файл {name} не подходит. Только JPG, PNG и WebP."
document,документ
Attach the main image first (Photo button). Second is optional.,Сначала прикрепите основное изображение (кнопка «Фото»). Второе — по желанию.
Editing image…,Редактирую изображение…
Painting your masterpiece…,Рисую ваш шедевр…
Canvas cleared. Attach a new photo and describe the edit.,Холст очищен. Прикрепите новое фото и опишите правку.
Canvas cleared. Ready for new ideas! 🎨,Холст очищен. Готова к новым идеям! 🎨
Opening folder is unavailable,Открытие папки недоступно
Could not open downloads folder,Не удалось открыть папку загрузок
Error opening folder,Ошибка открытия папки
Loading…,⌛ Загрузка…
Copy prompt,📋 Копировать промпт
Save description,💾 Сохранить описание
Description for search,Описание для поиска
Briefly: what is in the image…,Кратко: что на изображении…
Description saved,💾 Описание сохранено
Could not save description,Не удалось сохранить описание
Save failed,Ошибка сохранения
Prompt is empty,Промпт пуст
Prompt copied,📋 Промпт скопирован
Attachments are only available in chat with a multimodal model,Прикрепление доступно в чате с мультимодальной моделью
No file path,Нет пути к файлу
Image attached to message,📎 Изображение прикреплено к сообщению
Could not attach image,Не удалось прикрепить изображение
Gallery is empty for now,Галерея пока пуста
Delete this artwork?,Удалить этот шедевр?
Attach to message for analysis,Прикрепить к сообщению для анализа
All works,Все работы
Newest first,▼ Сначала новые
Oldest first,▲ Сначала старые
{count} images,{count} изображений
Preparing… releasing GPU and starting description,Подготовка… освобождаем GPU и запускаем описание
Done: {done} of {total},Готово: {done} из {total}
Descriptions saved: {saved} of {total},Сохранено описаний: {saved} из {total}
. Still without description: {missing},. Без описания осталось: {missing}
Model returned no description text — see logs/lira.log,Модель не вернула текст описания — см. logs/lira.log
Cancelled: {done} of {total},Прервано: {done} из {total}
Processed {done} of {total}…,Обработано {done} из {total}…
File: {name},Файл: {name}
Retry for {count} with English prefix / tags ({done}/{total})…,Повтор для {count} с англ. началом / тегами ({done}/{total})…
Regenerating descriptions,Перегенерация описаний
{total} total: releasing GPU for batch description…,Всего {total}: освобождаем GPU для пакетного описания…
Chat paused for now; faster than CPU,"Чат на время паузы; это быстрее, чем CPU"
Processed {done} of {total}: loading chat model again…,Обработано {done} из {total}: возвращаем модель в чат…
"— GPU, separate process","— GPU, отдельный процесс"
— background process,— фоновый процесс
{total} to describe{suffix},Всего к описанию: {total}{suffix}
Batch description on GPU starting soon…,Скоро старт пакетного описания на видеокарте…
{missing} gallery image(s) without description. Open Tools on the left and tap Add descriptions.,В галерее {missing} изображ. без описания. Раскройте «Инструменты» слева и нажмите «Добавить описания».
LoRA {name} added,LoRA {name} добавлена
GPU layers (n_gpu_layers):,Слои на GPU (n_gpu_layers):
"−1 = all layers on GPU. Fewer layers use CPU, less VRAM, slower. Reload model after change.","−1 = все слои на GPU. Меньше — часть на CPU, меньше VRAM, медленнее. После смены — перезагрузка модели."
History budget (tokens):,Бюджет истории (токены):
Hardware cap at n_ctx={nCtx}: ~{hwCap} (reserve for reply + template).,Потолок по железу при n_ctx={nCtx}: ~{hwCap} (резерв под ответ + шаблон).
Volume:,Громкость:
text_encoder on GPU (OOM risk),text_encoder на GPU (риск OOM)
Add descriptions,Добавить описания
Generate descriptions for frames without description,Сгенерировать описания для кадров без description
Fix descriptions,Исправить описания
Regenerate broken or empty descriptions,Перегенерировать битые или пустые описания
Thinking…,Думаю…
Reacting to event…,Реакция на событие…
Preparing reply…,Готовлю ответ...
Searching gallery…,Ищу в галерее...
Camera…,Камера…
Searching chat history…,Ищу в переписке...
Searching the web…,Ищу в интернете...
Reading saved results…,Читаю сохранённую выдачу...
Opening link…,Открываю ссылку...
Processing request…,Обрабатываю запрос...
Telegram…,Telegram…
{app_name} is already running,{app_name} уже запущена
Two instances cannot run on the same GPU.,Две копии не могут работать одновременно на одной видеокарте.
Startup error,Ошибка запуска
"Initializing {app_name}…
Loading model into CUDA","Инициализация {app_name}…
Загрузка нейросети в CUDA"
"[Lira] Full session log (print, stderr, uncaught exceptions):
  {path}","[Lira] Полный лог сессии (print, stderr, неперехваченные исключения):
  {path}"
"[Lira] Qwen Image Edit log (load/edit stages, append):
  {path}","[Lira] Лог Qwen Image Edit (этапы загрузки/редактирования, append):
  {path}"
New chat,Новый чат
User,Пользователь
Model file not found: {path},файл модели не найден: {path}
Qwen load interrupted,загрузка Qwen прервана
Gallery description refresh already running.,Уже выполняется обновление описаний.
Wait for the chat reply to finish.,Дождитесь окончания ответа в чате.
Wait for image generation to finish.,Дождитесь окончания генерации изображения.
No empty or broken descriptions to fix.,Нет пустых или битых описаний для исправления.
All images already have descriptions.,Все изображения уже с описанием.
A multimodal vision model must be loaded (clip) — switch model in chat.,Нужна загруженная мультимодальная модель с vision (clip) — переключите модель в чате.
Gallery descriptions aborted: {message},Описания галереи прерваны: {message}
Descriptions done but could not restore chat model: {message}. Restart {app_name} or switch model in the menu.,"Описания обработаны, но не удалось вернуть модель в чат: {message}. Перезапустите {app_name} или смените модель в меню."
Image file not found.,Файл изображения не найден.
Image too large (max. {mb} MB).,Изображение слишком большое (макс. {mb} Мб).
Could not attach image.,Не удалось прикрепить изображение.
Document upload not found (session reset).,Загрузка документа не найдена (сессия сброшена).
File incomplete ({got} of {expected} bytes). Try again.,Файл передан не полностью ({got} из {expected} байт). Попробуйте снова.
File decode error: {e},Ошибка декодирования файла: {e}
 p.{page}, стр.{page}
PDF not converted to images for vision. In Lira2 venv run: pip install pymupdf,PDF не преобразован в картинки для vision. В venv Lira2 выполните: pip install pymupdf
🖼 {pages} PDF pages → vision,🖼 {pages} стр. PDF → vision
🖼 {pages} PDF pages,🖼 {pages} стр. PDF
Wait for gallery description refresh to finish.,Подождите окончания обновления описаний галереи.
Wait for the proactive notification to finish.,Подождите проактивного уведомления.
"📎 Attach the main image (Photo button), then describe the edit in text.","📎 Прикрепите основное изображение (кнопка «Фото»), затем опишите правку в тексте."
Accepted Telegram message. Replying without tools — send again if you need more.,"Приняла сообщение в Telegram. Сейчас отвечаю без инструментов — напишите ещё раз, если нужно."
Noticed a Telegram message.,Заметила сообщение в Telegram.
