key,en
tools.memory_search.description,"SEARCH LONG-TERM MEMORY (chat history, saved facts). Call ONLY when the user asks about prior dialogue or stored facts; otherwise answer without this tool. Text only (not photos/gallery). Do not copy parameter descriptions or filler text into query. No two memory_search calls in a row: one memory query per chain step, then answer in plain text."
tools.memory_search.param.query,Short memory lookup topic (2-10 words, your own wording).
tools.gallery_search.description,"SEARCH THE LOCAL GALLERY of saved generations (images on disk + descriptions in DB). Server runs the call only if the user's current message explicitly asks for pictures, photos, gallery, visuals, or saved art (tool_policies.json → user_intent.gallery_message_substrings); otherwise the call is rejected. Search is mainly semantic (vector on description), then substring in description or prompt. Pass query as-is (phrase in the user's language). NOT for time, date, weather, or hardware from sens — reply in text. NOT for webcam snapshot — use camera_capture. Addressing the assistant by name alone is not a reason to search the gallery. One gallery_search per reply; only as the first tool in the chain. Found frames: thumbnails in chat; brief vision pass on best matches."
tools.gallery_search.param.query,"Search query: scene, objects, mood, style (short phrase or a few words). Focus on visual content, not the assistant's name or filler words."
tools.camera_capture.description,WEBCAM SNAPSHOT: one frame from the device camera for a vision reply. Server runs the call only if the user's message explicitly requests camera/webcam (tool_policies.json → user_intent.camera_message_substrings); otherwise rejected. User is prompted for permission first (can be remembered for this chat). NOT for saved gallery art — use gallery_search. NOT for time/hardware from sens. One camera_capture per reply; only as the first tool in the chain. Requires a vision model (mmproj/chat_handler).
tools.camera_capture.param.reason,Brief reason for the capture (optional log).
tools.web_search.description,"INTERNET SEARCH (SearXNG). Server runs the call only if the user's message explicitly requests data from the web (tool_policies.json → user_intent.web_message_substrings); otherwise rejected — answer from sens, memory, and knowledge. Not for time/hardware from sens. Returns titles, links, snippets; for page facts call web_fetch_url on a URL from results. To repeat the same SERP use web_search_saved with the same research_run_id, not another web_search. Do not call web_fetch_url twice for one URL — read prior tool messages."
tools.web_search.param.query,Web search query.
tools.web_search.param.limit,How many results (1..10).
tools.web_search.param.language,"Search language, e.g. ru or en."
tools.web_search.param.route_mode,Search route: auto/default/ru.
tools.web_search_saved.description,"Re-print titles, URLs and snippets from a completed web_search by research_run_id — no new internet search. For another link from the same SERP after fetch, instead of a second web_search with the same meaning."
tools.web_search_saved.param.run_id,research_run_id from web_search response (number in «research_run_id=…»).
tools.web_fetch_url.description,"FETCH PAGE by URL (HTTP) continuing web_search in the same reply. Without a prior web_search in this reply do not call — server will reject. End of tool output lists other URLs from the same SERP not fetched yet. Use when you need the full article, not only a SERP snippet. Do not dump raw JSON to the user. One URL — one successful fetch per reply."
tools.web_fetch_url.param.url,Full page URL to read.
tools.web_fetch_url.param.run_id,Research run id from web_search (optional).
tools.web_fetch_url.param.route_mode,Fetch route: auto/default/ru.
policies.system.internet.text,"INTERNET (web_search, web_fetch_url): sens and memory come first. A new web_search runs only if the user's current message explicitly requests web data (see user_intent.web_message_substrings in tool_policies.json); otherwise answer from context and knowledge. web_fetch_url only after an allowed web_search in the same reply, on a URL from its results."
policies.tools.memory_search.forbidden_if_last_hint,"Memory was already queried this step — answer from the result; web_search only if the user explicitly asked for internet search in this message (server will check). Otherwise reply in text, not memory_search again."
policies.tools.memory_search.extras.gallery_redirect_refusal_message,"memory_search is for text chat history and saved facts only, not for pictures. Call gallery_search with a visual query (scene, people, style) in the user's language — without adding «images» to the query. If gallery_search is rejected, reply in text."
policies.tools.gallery_search.extras.no_gallery_intent_refusal_message,"gallery_search is unavailable: the user's message has no explicit request for pictures, photos, gallery, or saved art. Reply in text; time and hardware readings — only from sens."
policies.tools.gallery_search.extras.suppress_refusal_message,"gallery_search is not run: web tools were already used for this user message (facts from sites). Do not mix gallery with dealers/prices — continue web_fetch_url on other URLs from the SERP or web_search_saved, or reply in text."
policies.tools.camera_capture.extras.no_camera_intent_refusal_message,camera_capture is unavailable: the user's message has no explicit request to take a webcam photo. Reply in text; time and hardware — only from sens.
